"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.2022avechidalgo.fr/162.159.128.45","443","INFO","HTTP","",""
"pre_128cipher","www.2022avechidalgo.fr/162.159.128.45","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.2022avechidalgo.fr/162.159.128.45","443","OK","not offered","",""
"SSLv3","www.2022avechidalgo.fr/162.159.128.45","443","OK","not offered","",""
"TLS1","www.2022avechidalgo.fr/162.159.128.45","443","INFO","not offered","",""
"TLS1_1","www.2022avechidalgo.fr/162.159.128.45","443","INFO","not offered","",""
"TLS1_2","www.2022avechidalgo.fr/162.159.128.45","443","OK","offered","",""
"TLS1_3","www.2022avechidalgo.fr/162.159.128.45","443","OK","offered with final","",""
"ALPN_HTTP2","www.2022avechidalgo.fr/162.159.128.45","443","OK","h2","",""
"ALPN","www.2022avechidalgo.fr/162.159.128.45","443","INFO","http/1.1","",""
"cipherlist_NULL","www.2022avechidalgo.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.2022avechidalgo.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.2022avechidalgo.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.2022avechidalgo.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.2022avechidalgo.fr/162.159.128.45","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.2022avechidalgo.fr/162.159.128.45","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.2022avechidalgo.fr/162.159.128.45","443","INFO","not offered","",""
"cipherlist_STRONG","www.2022avechidalgo.fr/162.159.128.45","443","OK","offered","",""
"cipher_order","www.2022avechidalgo.fr/162.159.128.45","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","www.2022avechidalgo.fr/162.159.128.45","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.2022avechidalgo.fr/162.159.128.45","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","www.2022avechidalgo.fr/162.159.128.45","443","INFO","AES128-SHA","",""
"FS","www.2022avechidalgo.fr/162.159.128.45","443","OK","offered","",""
"FS_ciphers","www.2022avechidalgo.fr/162.159.128.45","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","www.2022avechidalgo.fr/162.159.128.45","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.2022avechidalgo.fr/162.159.128.45","443","INFO","'server name/#0' 'renegotiation info/#65281' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","www.2022avechidalgo.fr/162.159.128.45","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.2022avechidalgo.fr/162.159.128.45","443","INFO","yes","",""
"sessionresumption_ticket","www.2022avechidalgo.fr/162.159.128.45","443","INFO","supported","",""
"sessionresumption_ID","www.2022avechidalgo.fr/162.159.128.45","443","INFO","supported","",""
"TLS_timestamp","www.2022avechidalgo.fr/162.159.128.45","443","INFO","off by -3 seconds from your localtime","",""
"certificate_compression","www.2022avechidalgo.fr/162.159.128.45","443","INFO","0002/Brotli","",""
"clientAuth","www.2022avechidalgo.fr/162.159.128.45","443","INFO","none","",""
"cert_numbers","www.2022avechidalgo.fr/162.159.128.45","443","INFO","1","",""
"cert_signatureAlgorithm","www.2022avechidalgo.fr/162.159.128.45","443","OK","SHA256 with RSA","",""
"cert_keySize","www.2022avechidalgo.fr/162.159.128.45","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.2022avechidalgo.fr/162.159.128.45","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.2022avechidalgo.fr/162.159.128.45","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.2022avechidalgo.fr/162.159.128.45","443","INFO","0E353B7BDD7777DD9309E11E3CB29F2E","",""
"cert_serialNumberLen","www.2022avechidalgo.fr/162.159.128.45","443","INFO","16","",""
"cert_fingerprintSHA1","www.2022avechidalgo.fr/162.159.128.45","443","INFO","4B1A42F478C1E71FC9D0240F970D7479C4D48D0E","",""
"cert_fingerprintSHA256","www.2022avechidalgo.fr/162.159.128.45","443","INFO","0827B7F565EE6851E430B9E10AC925ABA7A3F7674D768B8E2B5A498223AF3801","",""
