"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.avectaubira.fr/51.158.73.110","443","INFO","HTTP","",""
"pre_128cipher","www.avectaubira.fr/51.158.73.110","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.avectaubira.fr/51.158.73.110","443","OK","not offered","",""
"SSLv3","www.avectaubira.fr/51.158.73.110","443","OK","not offered","",""
"TLS1","www.avectaubira.fr/51.158.73.110","443","INFO","not offered","",""
"TLS1_1","www.avectaubira.fr/51.158.73.110","443","INFO","not offered","",""
"TLS1_2","www.avectaubira.fr/51.158.73.110","443","OK","offered","",""
"TLS1_3","www.avectaubira.fr/51.158.73.110","443","OK","offered with final","",""
"ALPN_HTTP2","www.avectaubira.fr/51.158.73.110","443","OK","h2","",""
"ALPN","www.avectaubira.fr/51.158.73.110","443","INFO","http/1.1","",""
"cipherlist_NULL","www.avectaubira.fr/51.158.73.110","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.avectaubira.fr/51.158.73.110","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.avectaubira.fr/51.158.73.110","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.avectaubira.fr/51.158.73.110","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.avectaubira.fr/51.158.73.110","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.avectaubira.fr/51.158.73.110","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.avectaubira.fr/51.158.73.110","443","INFO","not offered","",""
"cipherlist_STRONG","www.avectaubira.fr/51.158.73.110","443","OK","offered","",""
"cipher_order","www.avectaubira.fr/51.158.73.110","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","www.avectaubira.fr/51.158.73.110","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.avectaubira.fr/51.158.73.110","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"cipher-tls1_2_xc030","www.avectaubira.fr/51.158.73.110","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
