"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.fabienroussel2022.fr/162.159.128.45","443","INFO","HTTP","",""
"pre_128cipher","www.fabienroussel2022.fr/162.159.128.45","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.fabienroussel2022.fr/162.159.128.45","443","OK","not offered","",""
"SSLv3","www.fabienroussel2022.fr/162.159.128.45","443","OK","not offered","",""
"TLS1","www.fabienroussel2022.fr/162.159.128.45","443","INFO","not offered","",""
"TLS1_1","www.fabienroussel2022.fr/162.159.128.45","443","INFO","not offered","",""
"TLS1_2","www.fabienroussel2022.fr/162.159.128.45","443","OK","offered","",""
"TLS1_3","www.fabienroussel2022.fr/162.159.128.45","443","OK","offered with final","",""
"ALPN_HTTP2","www.fabienroussel2022.fr/162.159.128.45","443","OK","h2","",""
"ALPN","www.fabienroussel2022.fr/162.159.128.45","443","INFO","http/1.1","",""
"cipherlist_NULL","www.fabienroussel2022.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.fabienroussel2022.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.fabienroussel2022.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.fabienroussel2022.fr/162.159.128.45","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.fabienroussel2022.fr/162.159.128.45","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.fabienroussel2022.fr/162.159.128.45","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.fabienroussel2022.fr/162.159.128.45","443","INFO","not offered","",""
"cipherlist_STRONG","www.fabienroussel2022.fr/162.159.128.45","443","OK","offered","",""
"cipher_order","www.fabienroussel2022.fr/162.159.128.45","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","www.fabienroussel2022.fr/162.159.128.45","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.fabienroussel2022.fr/162.159.128.45","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","www.fabienroussel2022.fr/162.159.128.45","443","INFO","AES128-SHA","",""
"FS","www.fabienroussel2022.fr/162.159.128.45","443","OK","offered","",""
"FS_ciphers","www.fabienroussel2022.fr/162.159.128.45","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","www.fabienroussel2022.fr/162.159.128.45","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.fabienroussel2022.fr/162.159.128.45","443","INFO","'server name/#0' 'renegotiation info/#65281' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","www.fabienroussel2022.fr/162.159.128.45","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.fabienroussel2022.fr/162.159.128.45","443","INFO","yes","",""
"sessionresumption_ticket","www.fabienroussel2022.fr/162.159.128.45","443","INFO","supported","",""
"sessionresumption_ID","www.fabienroussel2022.fr/162.159.128.45","443","INFO","not supported","",""
"TLS_timestamp","www.fabienroussel2022.fr/162.159.128.45","443","INFO","off by -4 seconds from your localtime","",""
"certificate_compression","www.fabienroussel2022.fr/162.159.128.45","443","INFO","0002/Brotli","",""
"clientAuth","www.fabienroussel2022.fr/162.159.128.45","443","INFO","none","",""
"cert_numbers","www.fabienroussel2022.fr/162.159.128.45","443","INFO","1","",""
"cert_signatureAlgorithm","www.fabienroussel2022.fr/162.159.128.45","443","OK","SHA256 with RSA","",""
"cert_keySize","www.fabienroussel2022.fr/162.159.128.45","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.fabienroussel2022.fr/162.159.128.45","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.fabienroussel2022.fr/162.159.128.45","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.fabienroussel2022.fr/162.159.128.45","443","INFO","078E249F8393767BC79A33B42823D737","",""
"cert_serialNumberLen","www.fabienroussel2022.fr/162.159.128.45","443","INFO","16","",""
"cert_fingerprintSHA1","www.fabienroussel2022.fr/162.159.128.45","443","INFO","C5B4A61CB4CDFC14439A93B85E9DDCD6B6D7114C","",""
"cert_fingerprintSHA256","www.fabienroussel2022.fr/162.159.128.45","443","INFO","76A81F974D2D72E1BDEDB175ECD613D91AB34A0E06E4E5D234BF8162A564791D","",""
