"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.nathalie-arthaud.info/141.94.244.194","443","INFO","HTTP","",""
"pre_128cipher","www.nathalie-arthaud.info/141.94.244.194","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.nathalie-arthaud.info/141.94.244.194","443","OK","not offered","",""
"SSLv3","www.nathalie-arthaud.info/141.94.244.194","443","OK","not offered","",""
"TLS1","www.nathalie-arthaud.info/141.94.244.194","443","INFO","not offered","",""
"TLS1_1","www.nathalie-arthaud.info/141.94.244.194","443","INFO","not offered","",""
"TLS1_2","www.nathalie-arthaud.info/141.94.244.194","443","OK","offered","",""
"TLS1_3","www.nathalie-arthaud.info/141.94.244.194","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.nathalie-arthaud.info/141.94.244.194","443","INFO","http/1.1","",""
"cipherlist_NULL","www.nathalie-arthaud.info/141.94.244.194","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.nathalie-arthaud.info/141.94.244.194","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.nathalie-arthaud.info/141.94.244.194","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.nathalie-arthaud.info/141.94.244.194","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.nathalie-arthaud.info/141.94.244.194","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.nathalie-arthaud.info/141.94.244.194","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.nathalie-arthaud.info/141.94.244.194","443","INFO","not offered","",""
"cipherlist_STRONG","www.nathalie-arthaud.info/141.94.244.194","443","OK","offered","",""
"cipher_order","www.nathalie-arthaud.info/141.94.244.194","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","www.nathalie-arthaud.info/141.94.244.194","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.nathalie-arthaud.info/141.94.244.194","443","LOW","DHE-RSA-AES256-SHA256, 4096 bit DH (cbc)  (matching cipher in list missing)","",""
"cipher-tls1_2_xc030","www.nathalie-arthaud.info/141.94.244.194","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","www.nathalie-arthaud.info/141.94.244.194","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","www.nathalie-arthaud.info/141.94.244.194","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9f","www.nathalie-arthaud.info/141.94.244.194","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 4096    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x6b","www.nathalie-arthaud.info/141.94.244.194","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 4096    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","www.nathalie-arthaud.info/141.94.244.194","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 4096    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"supportedciphers_TLSv1_2","www.nathalie-arthaud.info/141.94.244.194","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA","",""
"FS","www.nathalie-arthaud.info/141.94.244.194","443","OK","offered","",""
"FS_ciphers","www.nathalie-arthaud.info/141.94.244.194","443","INFO","DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.nathalie-arthaud.info/141.94.244.194","443","OK","prime256v1 secp384r1 secp521r1","",""
