"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","avecvous2022.fr/104.22.8.6","443","INFO","HTTP","",""
"pre_128cipher","avecvous2022.fr/104.22.8.6","443","INFO","No 128 cipher limit bug","",""
"SSLv2","avecvous2022.fr/104.22.8.6","443","OK","not offered","",""
"SSLv3","avecvous2022.fr/104.22.8.6","443","OK","not offered","",""
"TLS1","avecvous2022.fr/104.22.8.6","443","LOW","offered (deprecated)","",""
"TLS1_1","avecvous2022.fr/104.22.8.6","443","LOW","offered (deprecated)","",""
"TLS1_2","avecvous2022.fr/104.22.8.6","443","OK","offered","",""
"TLS1_3","avecvous2022.fr/104.22.8.6","443","OK","offered with final","",""
"ALPN_HTTP2","avecvous2022.fr/104.22.8.6","443","OK","h2","",""
"ALPN","avecvous2022.fr/104.22.8.6","443","INFO","http/1.1","",""
"cipherlist_NULL","avecvous2022.fr/104.22.8.6","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","avecvous2022.fr/104.22.8.6","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","avecvous2022.fr/104.22.8.6","443","OK","not offered","","CWE-327"
"cipherlist_LOW","avecvous2022.fr/104.22.8.6","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","avecvous2022.fr/104.22.8.6","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","avecvous2022.fr/104.22.8.6","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","avecvous2022.fr/104.22.8.6","443","OK","offered","",""
"cipherlist_STRONG","avecvous2022.fr/104.22.8.6","443","OK","offered","",""
"cipher_order","avecvous2022.fr/104.22.8.6","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","avecvous2022.fr/104.22.8.6","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","avecvous2022.fr/104.22.8.6","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1","avecvous2022.fr/104.22.8.6","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","avecvous2022.fr/104.22.8.6","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","avecvous2022.fr/104.22.8.6","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","avecvous2022.fr/104.22.8.6","443","OK","offered","",""
"FS_ciphers","avecvous2022.fr/104.22.8.6","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","avecvous2022.fr/104.22.8.6","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","avecvous2022.fr/104.22.8.6","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","avecvous2022.fr/104.22.8.6","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","avecvous2022.fr/104.22.8.6","443","INFO","yes","",""
"sessionresumption_ticket","avecvous2022.fr/104.22.8.6","443","INFO","supported","",""
"sessionresumption_ID","avecvous2022.fr/104.22.8.6","443","INFO","supported","",""
"TLS_timestamp","avecvous2022.fr/104.22.8.6","443","INFO","off by 0 seconds from your localtime","",""
"certificate_compression","avecvous2022.fr/104.22.8.6","443","INFO","0002/Brotli","",""
"clientAuth","avecvous2022.fr/104.22.8.6","443","INFO","none","",""
"cert_numbers","avecvous2022.fr/104.22.8.6","443","INFO","1","",""
"cert_signatureAlgorithm","avecvous2022.fr/104.22.8.6","443","OK","SHA256 with RSA","",""
"cert_keySize","avecvous2022.fr/104.22.8.6","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","avecvous2022.fr/104.22.8.6","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","avecvous2022.fr/104.22.8.6","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","avecvous2022.fr/104.22.8.6","443","INFO","67F2AC07A24018C43E8A15FC","",""
"cert_serialNumberLen","avecvous2022.fr/104.22.8.6","443","INFO","12","",""
"cert_fingerprintSHA1","avecvous2022.fr/104.22.8.6","443","INFO","76FC39A210E81FD0F44D93960CF8C939E371AEF3","",""
"cert_fingerprintSHA256","avecvous2022.fr/104.22.8.6","443","INFO","BD0C0DDEF08F2A85F89D7A2C13F9E6CA43EAA0A5571170738F31934071E56E35","",""
