"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","melenchon2022.fr/104.26.8.197","443","INFO","HTTP","",""
"pre_128cipher","melenchon2022.fr/104.26.8.197","443","INFO","No 128 cipher limit bug","",""
"SSLv2","melenchon2022.fr/104.26.8.197","443","OK","not offered","",""
"SSLv3","melenchon2022.fr/104.26.8.197","443","OK","not offered","",""
"TLS1","melenchon2022.fr/104.26.8.197","443","LOW","offered (deprecated)","",""
"TLS1_1","melenchon2022.fr/104.26.8.197","443","LOW","offered (deprecated)","",""
"TLS1_2","melenchon2022.fr/104.26.8.197","443","OK","offered","",""
"TLS1_3","melenchon2022.fr/104.26.8.197","443","OK","offered with final","",""
"ALPN_HTTP2","melenchon2022.fr/104.26.8.197","443","OK","h2","",""
"ALPN","melenchon2022.fr/104.26.8.197","443","INFO","http/1.1","",""
"cipherlist_NULL","melenchon2022.fr/104.26.8.197","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","melenchon2022.fr/104.26.8.197","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","melenchon2022.fr/104.26.8.197","443","OK","not offered","","CWE-327"
"cipherlist_LOW","melenchon2022.fr/104.26.8.197","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","melenchon2022.fr/104.26.8.197","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","melenchon2022.fr/104.26.8.197","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","melenchon2022.fr/104.26.8.197","443","OK","offered","",""
"cipherlist_STRONG","melenchon2022.fr/104.26.8.197","443","OK","offered","",""
"cipherorder_TLSv1","melenchon2022.fr/104.26.8.197","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","melenchon2022.fr/104.26.8.197","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","melenchon2022.fr/104.26.8.197","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","melenchon2022.fr/104.26.8.197","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","melenchon2022.fr/104.26.8.197","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","melenchon2022.fr/104.26.8.197","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","melenchon2022.fr/104.26.8.197","443","OK","offered","",""
"FS_ciphers","melenchon2022.fr/104.26.8.197","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","melenchon2022.fr/104.26.8.197","443","OK","prime256v1","",""
"TLS_extensions","melenchon2022.fr/104.26.8.197","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","melenchon2022.fr/104.26.8.197","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","melenchon2022.fr/104.26.8.197","443","INFO","yes","",""
"sessionresumption_ticket","melenchon2022.fr/104.26.8.197","443","INFO","supported","",""
"sessionresumption_ID","melenchon2022.fr/104.26.8.197","443","INFO","not supported","",""
"TLS_timestamp","melenchon2022.fr/104.26.8.197","443","INFO","off by 0 seconds from your localtime","",""
"certificate_compression","melenchon2022.fr/104.26.8.197","443","INFO","0002/Brotli","",""
"clientAuth","melenchon2022.fr/104.26.8.197","443","INFO","none","",""
"cert_numbers","melenchon2022.fr/104.26.8.197","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","0724F1D3697EA861C68A6B64B38F89FD","",""
"cert_serialNumberLen <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","12B8079AC6AE7A1F48FB1A6A85A97A206B877300","",""
"cert_fingerprintSHA256 <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","67F6CDE5086E76E940377D3A32D2E83B9C35F94C24AD62D65856645D434D6638","",""
"cert <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","-----BEGIN CERTIFICATE----- MIIGyjCCBbKgAwIBAgIQByTx02l+qGHGimtks4+J/TANBgkqhkiG9w0BAQsFADBK MQswCQYDVQQGEwJVUzEZMBcGA1UEChMQQ2xvdWRmbGFyZSwgSW5jLjEgMB4GA1UE AxMXQ2xvdWRmbGFyZSBJbmMgUlNBIENBLTIwHhcNMjIwNTI0MDAwMDAwWhcNMjMw NTI0MjM1OTU5WjB1MQswCQYDVQQGEwJVUzETMBEGA1UECBMKQ2FsaWZvcm5pYTEW MBQGA1UEBxMNU2FuIEZyYW5jaXNjbzEZMBcGA1UEChMQQ2xvdWRmbGFyZSwgSW5j LjEeMBwGA1UEAxMVc25pLmNsb3VkZmxhcmVzc2wuY29tMIIBIjANBgkqhkiG9w0B AQEFAAOCAQ8AMIIBCgKCAQEAnxgZsF0Yq9vjgFgPuxeHy3l3+Ax+RQJcTZquW/y9 N0HCTyMRMShJAAc4knujazVblMKjLGP5GQN18ThPGjbpDXpp9Gsqy2OxdghajU9q Sq1BOsoFD13ILCLQmUXn08H7UdSDM7Ki4DdCa3k1k12xkG9WRezY3/tSxivISrxG e7840aw92WJtIAHKiOiX03a6LUpYF/KJPh1q+KVXfvpS7EiYIICintk+YBiZU4dG vWSE61x6ixrMeE2dHq9XfycVQ41VUiydtxc3p/u3M6X3KJVolFlU9jySnLfQD+6v zG8JkiijKYz1xzsLMOVg9hoQdl8Ha9YcTF+OaJfTO2IfdwIDAQABo4IDfzCCA3sw HwYDVR0jBBgwFoAUGKka/LJFScFvMDQIK9mHnLAlV3owHQYDVR0OBBYEFMZfFBG2 Vnbm8+qKIQvb5TaLX5mCMEYGA1UdEQQ/MD2CEG1lbGVuY2hvbjIwMjIuZnKCEiou bWVsZW5jaG9uMjAyMi5mcoIVc25pLmNsb3VkZmxhcmVzc2wuY29tMA4GA1UdDwEB /wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwewYDVR0fBHQw cjA3oDWgM4YxaHR0cDovL2NybDMuZGlnaWNlcnQuY29tL0Nsb3VkZmxhcmVJbmNS U0FDQS0yLmNybDA3oDWgM4YxaHR0cDovL2NybDQuZGlnaWNlcnQuY29tL0Nsb3Vk ZmxhcmVJbmNSU0FDQS0yLmNybDA+BgNVHSAENzA1MDMGBmeBDAECAjApMCcGCCsG AQUFBwIBFhtodHRwOi8vd3d3LmRpZ2ljZXJ0LmNvbS9DUFMwdgYIKwYBBQUHAQEE ajBoMCQGCCsGAQUFBzABhhhodHRwOi8vb2NzcC5kaWdpY2VydC5jb20wQAYIKwYB BQUHMAKGNGh0dHA6Ly9jYWNlcnRzLmRpZ2ljZXJ0LmNvbS9DbG91ZGZsYXJlSW5j UlNBQ0EtMi5jcnQwDAYDVR0TAQH/BAIwADCCAX0GCisGAQQB1nkCBAIEggFtBIIB aQFnAHUA6D7Q2j71BjUy51covIlryQPTy9ERa+zraeF3fW0GvW4AAAGA88WEnQAA BAMARjBEAiAuvehNbeIcbTN1b/isd3UrPOI3D2r3vMUy3+65b1JBMgIgONyOF856 yBBefCA8KtVpZCk2qfOi54g9kcnpdbaykTMAdgA1zxkbv7FsV78PrUxtQsu7ticg JlHqP+Eq76gDwzvWTAAAAYDzxYTGAAAEAwBHMEUCIFV8r9uPlNvlIWiwQ0kI61cg 2be4JSOf8BNu51LjpmkaAiEA37M92MfMiV1pdnL6CcQIshkQrZ2EwhZPjAB8131j +ngAdgC3Pvsk35xNunXyOcW6WPRsXfxCz3qfNcSeHQmBJe20mQAAAYDzxYS+AAAE AwBHMEUCIQCYEVfLiLeKSxGg+uZjWJqhU5DnflvBh0LY+NwmcjTtzQIgFFYRl1yw Vmw1Dp62RhTjMluEKpug/GpXSdKH9dDmtgswDQYJKoZIhvcNAQELBQADggEBAKeI e7NdX1/i4uR4T6rakaj+suXvD16w+EB6ZpomlASRQAbgJLR8Ycmeq66xb9N4xg8p PfMl8BzAOnBumI3w64gmX89f5ZT2QlvIr0QzLdNdZmmY0qlKLiIb5Qkaguo6kQqJ GIxoGJM03h985+iqM+8OJnDjtT0WvmDaqO3nUlXysFlSTmYnjdQIZF1KKV4tLrYY 178rM0LNe/5KIy9vfBWVP5UemQ/9brwyNJ4qnxPlDkcCTEflJSK7UHGkxAFTg8ZN k7TS3vaaf2RAXU7cjI+cLWQgDImYSorBqmoXdxeXH76MNBJtomf/2CDlm5GOGIq5 t/g9xVQWYjbA4e+EJx8= -----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","sni.cloudflaressl.com","",""
"cert_commonName_wo_SNI <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","melenchon2022.fr *.melenchon2022.fr sni.cloudflaressl.com","",""
"cert_trust <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","353 >= 60 days","",""
"cert_notBefore <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","2022-05-24 00:00","",""
"cert_notAfter <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","2023-05-24 23:59","",""
"cert_extlifeSpan <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","http://crl3.digicert.com/CloudflareIncRSACA-2.crl http://crl4.digicert.com/CloudflareIncRSACA-2.crl","",""
"cert_ocspURL <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","http://ocsp.digicert.com","",""
"OCSP_stapling <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","offered","",""
"cert_ocspRevoked <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","not revoked","",""
"cert_mustStapleExtension <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","--","",""
"DNS_CAArecord <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","issue=comodoca.com, issue=digicert.com;, issue=letsencrypt.org, issue=pki.goog;, issuewild=comodoca.com, issuewild=digicert.com;, issuewild=letsencrypt.org, issuewild=pki.goog;","",""
"certificate_transparency <hostCert#1>","melenchon2022.fr/104.26.8.197","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","2","",""
"certs_list_ordering_problem <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","no","",""
"cert_caIssuers <hostCert#1>","melenchon2022.fr/104.26.8.197","443","INFO","Cloudflare Inc RSA CA-2 (Cloudflare, Inc. from US)","",""
