"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","poutou2022.org/94.23.218.185","443","INFO","HTTP","",""
"pre_128cipher","poutou2022.org/94.23.218.185","443","INFO","No 128 cipher limit bug","",""
"SSLv2","poutou2022.org/94.23.218.185","443","OK","not offered","",""
"SSLv3","poutou2022.org/94.23.218.185","443","OK","not offered","",""
"TLS1","poutou2022.org/94.23.218.185","443","LOW","offered (deprecated)","",""
"TLS1_1","poutou2022.org/94.23.218.185","443","LOW","offered (deprecated)","",""
"TLS1_2","poutou2022.org/94.23.218.185","443","OK","offered","",""
"TLS1_3","poutou2022.org/94.23.218.185","443","OK","offered with final","",""
"ALPN","poutou2022.org/94.23.218.185","443","INFO","http/1.1","",""
"cipherlist_NULL","poutou2022.org/94.23.218.185","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","poutou2022.org/94.23.218.185","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","poutou2022.org/94.23.218.185","443","OK","not offered","","CWE-327"
"cipherlist_LOW","poutou2022.org/94.23.218.185","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","poutou2022.org/94.23.218.185","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","poutou2022.org/94.23.218.185","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","poutou2022.org/94.23.218.185","443","OK","offered","",""
"cipherlist_STRONG","poutou2022.org/94.23.218.185","443","OK","offered","",""
"cipher_order","poutou2022.org/94.23.218.185","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","poutou2022.org/94.23.218.185","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","poutou2022.org/94.23.218.185","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"cipher-tls1_xc014","poutou2022.org/94.23.218.185","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x39","poutou2022.org/94.23.218.185","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x88","poutou2022.org/94.23.218.185","443","LOW","TLSv1   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_x35","poutou2022.org/94.23.218.185","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x84","poutou2022.org/94.23.218.185","443","LOW","TLSv1   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_xc013","poutou2022.org/94.23.218.185","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x33","poutou2022.org/94.23.218.185","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x45","poutou2022.org/94.23.218.185","443","LOW","TLSv1   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
