"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","rassemblementnational.fr/192.124.249.56","443","INFO","HTTP","",""
"pre_128cipher","rassemblementnational.fr/192.124.249.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","rassemblementnational.fr/192.124.249.56","443","OK","not offered","",""
"SSLv3","rassemblementnational.fr/192.124.249.56","443","OK","not offered","",""
"TLS1","rassemblementnational.fr/192.124.249.56","443","INFO","not offered","",""
"TLS1_1","rassemblementnational.fr/192.124.249.56","443","INFO","not offered","",""
"TLS1_2","rassemblementnational.fr/192.124.249.56","443","OK","offered","",""
"TLS1_3","rassemblementnational.fr/192.124.249.56","443","OK","offered with final","",""
"ALPN_HTTP2","rassemblementnational.fr/192.124.249.56","443","OK","h2","",""
"ALPN","rassemblementnational.fr/192.124.249.56","443","INFO","http/1.1","",""
"cipherlist_NULL","rassemblementnational.fr/192.124.249.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","rassemblementnational.fr/192.124.249.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","rassemblementnational.fr/192.124.249.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","rassemblementnational.fr/192.124.249.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","rassemblementnational.fr/192.124.249.56","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","rassemblementnational.fr/192.124.249.56","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","rassemblementnational.fr/192.124.249.56","443","INFO","not offered","",""
"cipherlist_STRONG","rassemblementnational.fr/192.124.249.56","443","OK","offered","",""
"cipherorder_TLSv1_2","rassemblementnational.fr/192.124.249.56","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","rassemblementnational.fr/192.124.249.56","443","OK","server","",""
"protocol_negotiated","rassemblementnational.fr/192.124.249.56","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","rassemblementnational.fr/192.124.249.56","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","rassemblementnational.fr/192.124.249.56","443","OK","offered","",""
"FS_ciphers","rassemblementnational.fr/192.124.249.56","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","rassemblementnational.fr/192.124.249.56","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","rassemblementnational.fr/192.124.249.56","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","rassemblementnational.fr/192.124.249.56","443","INFO","valid for 3600 seconds only (<daily)","",""
"SSL_sessionID_support","rassemblementnational.fr/192.124.249.56","443","INFO","yes","",""
"sessionresumption_ticket","rassemblementnational.fr/192.124.249.56","443","INFO","supported","",""
"sessionresumption_ID","rassemblementnational.fr/192.124.249.56","443","INFO","supported","",""
"TLS_timestamp","rassemblementnational.fr/192.124.249.56","443","INFO","random","",""
"certificate_compression","rassemblementnational.fr/192.124.249.56","443","INFO","none","",""
"clientAuth","rassemblementnational.fr/192.124.249.56","443","INFO","none","",""
"cert_numbers","rassemblementnational.fr/192.124.249.56","443","INFO","1","",""
"cert_signatureAlgorithm","rassemblementnational.fr/192.124.249.56","443","OK","SHA256 with RSA","",""
"cert_keySize","rassemblementnational.fr/192.124.249.56","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","rassemblementnational.fr/192.124.249.56","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","rassemblementnational.fr/192.124.249.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","rassemblementnational.fr/192.124.249.56","443","INFO","BE630C11EB7FE838","",""
"cert_serialNumberLen","rassemblementnational.fr/192.124.249.56","443","INFO","8","",""
"cert_fingerprintSHA1","rassemblementnational.fr/192.124.249.56","443","INFO","542EE7AA07E20EBBCD610936FCA42E438A5F3B77","",""
"cert_fingerprintSHA256","rassemblementnational.fr/192.124.249.56","443","INFO","1B5246DF5B09833636FADEE76BE43640388A823524327F4456BAE855A52443B7","",""
